country_iso;country_name;year;Suhu;Curah_Hujan;Kelembapan;CH4_Agriculture;CO2_Agriculture;N2O_Agriculture;CH4_Buildings;CO2_Buildings;N2O_Buildings;CH4_Transport;CO2_Transport;N2O_Transport;CH4_Waste;CO2_Waste;N2O_Waste
MM;Myanmar;2014;24,91;2041,32;75,56;77,34696834;0,262009492;13,13988383;3,531764811;2,91059729;0,492105856;0,028621331;3,96190768;0,109371849;3,107131205;0,040320743;0,797677802
MM;Myanmar;2015;24,89;2324,38;77,21;78,49392269;0,279295212;13,62396899;3,551308112;3,27088237;0,500303435;0,027469389;4,33040449;0,120192665;3,183300078;0,040959162;0,828757869
MM;Myanmar;2016;25,09;2282,32;77,1;79,76909292;0,506052335;14,29104903;3,576447902;5,20262529;0,727370604;0,03090931;4,43963435;0,110365462;3,244154871;0,041690974;0,845283135
MM;Myanmar;2017;24,93;2381,84;78,07;82,61576455;0,600338034;16,29384244;3,584853438;7,008565038;0,842162942;0,040583292;5,934580712;0,147824744;3,307932704;0,042432543;0,858463039
MM;Myanmar;2018;24,68;2452,09;78,04;64,85069879;0,924838035;10,53962708;3,597417911;7,065015204;0,851900877;0,042334976;6,101214019;0,155163375;3,197621302;0,043181082;0,872638164
MM;Myanmar;2019;25,15;2056,27;75,44;63,85699785;0,821909475;10,46318093;3,609062943;7,228299799;0,864381315;0,043773074;6,355162195;0,160719682;3,260874849;0,043931015;0,887759419
MM;Myanmar;2020;25,19;2087,67;75,35;63,79084269;1,253790401;11,49393244;3,618726966;6,786394611;0,840702996;0,041703783;5,868873554;0,151751798;3,332102066;0,044680948;0,895540666
MM;Myanmar;2021;25,24;2070,88;76,41;65,63731469;0,989999957;10,71578106;3,625578905;5,914473828;0,791793078;0,035934479;4,960883694;0,130145443;3,38053049;0,045500577;0,910545153
MM;Myanmar;2022;25,04;2111,4;77,62;64,5498186;1,086789481;10,25251478;3,626396315;6,203528187;0,808251889;0,037074215;5,196359188;0,134936143;3,408015732;0,046262498;0,923597557
MM;Myanmar;2023;26,17;2061,83;76,3;60,93795869;1,196699973;9,537740332;3,626831454;6,371538878;0,817814658;0,037959851;5,364454177;0,13856581;3,44616702;0,047037177;0,936837112
PH;Philipine;2013;26,21;3045,08;84,39;49,0334299;1,239595139;8,02986341;2,030715607;6,350477194;0,256907662;0,121499582;25,563349;0,301792999;9,052857589;0,126091882;0,999821158
PH;Philipine;2014;26,05;2959,39;83,81;48,95041143;1,572371293;8,897625487;2,061561155;7,185396613;0,260319196;0,115606129;26,64647248;0,308826573;8,511186923;0,128698526;1,023072457
PH;Philipine;2015;26,26;2336,91;82,25;48,40104916;1,376885612;8,203733654;2,051042026;7,081700692;0,258281444;0,124723494;30,82101731;0,356082909;8,916025362;0,131314928;1,056679693
PH;Philipine;2016;26,62;2758,21;82,84;47,8267294;1,493171296;8,847669345;2,01779549;8,621042762;0,255436567;0,149300752;33,33541641;0,371829884;8,803317055;0,134033086;1,083829849
PH;Philipine;2017;26,25;3327,31;84,31;49,77708693;1,50333321;8,991088091;2,027463646;10,19920301;0,262508127;0,154025078;34,4551569;0,377202889;9,087824661;0,13676379;1,125280721
PH;Philipine;2018;26,36;2632,37;82,84;49,70983852;1,391604653;8,721601471;2,031138208;10,67718412;0,25871468;0,154367;35,63941654;0,382291774;9,282504153;0,139511221;1,17812986
PH;Philipine;2019;26,46;2310,21;81,31;48,59531412;1,234461813;8,523848473;2,037729447;11,32433147;0,260585866;0,164677872;36,90616155;0,389021851;9,48602758;0,142276773;1,215777228
PH;Philipine;2020;26,56;2884,33;82,45;49,14846778;1,498409404;9,151138282;2,048088281;11,39032137;0,267163903;0,137233668;28,45532519;0,292903984;9,687529782;0,145067415;1,243038508
PH;Philipine;2021;26,36;3109,17;83,18;49,38221665;1,269295171;8,429316156;2,067782559;12,18566025;0,283999325;0,155519834;31,77879365;0,32503733;9,865695599;0,148039269;1,270628177
PH;Philipine;2022;26,34;3266,34;83,56;49,07310227;1,197072327;8,280118953;2,056791566;13,37683114;0,287169594;0,17036376;34,8474632;0,356705535;10,08474636;0,150840505;1,307987842
PH;Philipine;2023;26,17;3003,42;83,03;48,70646457;1,138914576;8,252880191;2,058606515;13,99190957;0,289633827;0,177910386;36,45372774;0,373979335;10,30120912;0,153694747;1,346449014
SG;Singapore;2013;27,16;2593,41;83,13;0,009256237;5,196359188;0,007882202;0,001522122;0,64470153;0,000288116;0,031264469;6,51305379;0,080484688;3,48143814;0,036650532;0,069962344
SG;Singapore;2014;27,16;2358,41;81,89;0,009261281;5,364454177;0,007882252;0,001419684;0,60067326;0,000268726;0,029537007;6,73055316;0,081869399;3,679815727;0,037249921;0,071742307
SG;Singapore;2015;27,18;2051,77;82,54;0,009307233;0,093407479;0,007945589;0,001443694;0,61062551;0,000273271;0,028203041;7,21948917;0,088738797;3,837278807;0,037843734;0,07390542
SG;Singapore;2016;27,67;2556,64;82,94;0,009487562;0,109371849;0,008117258;0,001446816;0,61055214;0,000273862;0,032475298;7,40485527;0,087128859;3,622110946;0,038438941;0,076291846
SG;Singapore;2017;27,31;2785,62;83,12;0,0096498;0,120192665;0,008403082;0,001417634;0,598171326;0,000268338;0,030254369;6,637439922;0,07425884;4,000980507;0,039029966;0,078611505
SG;Singapore;2018;27,19;2657,21;83,14;0,009809654;0,110365462;0,008603438;0,001422666;0,59989048;0,00026929;0,02835864;6,384525018;0,069288376;4,005229115;0,039598689;0,080723654
SG;Singapore;2019;27,51;2201,73;81,99;0,010062941;0,147824744;0,008694327;0,001388223;0,584473648;0,000262771;0,028481106;6,297665275;0,067581169;4,14623222;0,040118624;0,081785589
SG;Singapore;2020;27,39;2784,45;82,8;0,010094269;0,155163375;0,008780366;0,001395967;0,587126019;0,000264237;0,028224351;6,176618581;0,065822409;4,007885759;0,040577226;0,083314447
